platform_id,platform,category,protocol,api_surface,automation_method,tier,country
IN-curebay-technologies-private,CUREBAY TECHNOLOGIES PRIVATE LIMITED,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-curebay-technologies-private,CUREBAY TECHNOLOGIES PRIVATE LIMITED,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-clinally-mpower-health,Clinally mPower Health,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-cliniq360-pvt,CliniQ360 Pvt. Ltd.,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-codepro-management-private,Codepro Management Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-compune-digital-solutions-pvt,Compune Digital Solutions Pvt Ltd,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-copious-healthcare-india-pvt,Copious Healthcare India Pvt Ltd,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-copious-healthcare-india-pvt,Copious Healthcare India Pvt Ltd,Health Tech,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-cordelia-technology-private,Cordelia Technology Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-core5-systems-and-services-private,Core5 Systems and Services Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-cottonsoil-healthcare-tech-pvt,Cottonsoil Healthcare Tech Pvt Ltd,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-crane-global-solutions-limited-cgsl,Crane Global Solutions Limited (CGSL),HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-criterion-tech-private,Criterion Tech Private Limited,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-curasync-technologies,Curasync Technologies LLP,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-dalvkot-utility-enterprises-pvt,DALVKOT UTILITY ENTERPRISES PVT LTD,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-dcdc-health-services-pvt-lt,DCDC Health Services Pvt. Lt,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-devenv-tech-private,DEVENV TECH PRIVATE LIMITED,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-driefcase-connect,DRiefcase Connect,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-dataman-computer-systems-pvt,Dataman Computer Systems Pvt. Ltd.,HMIS,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-dataman-computer-systems-pvt,Dataman Computer Systems Pvt. Ltd.,Health Locker,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
IN-dataman-computer-systems-pvt,Dataman Computer Systems Pvt. Ltd.,PHR App,FHIR-R4/ABDM,ABDM M1-M3,api-preferred,P2,India
